,precision,recall,f1-score,support
NORMAL,0.9927536231884058,0.5854700854700855,0.7365591397849462,234.0
PNEUMONIA,0.8004115226337448,0.9974358974358974,0.8881278538812786,390.0
accuracy,0.842948717948718,0.842948717948718,0.842948717948718,0.842948717948718
macro avg,0.8965825729110752,0.7914529914529915,0.8123434968331125,624.0
weighted avg,0.8725398103417428,0.842948717948718,0.8312895860951539,624.0
